date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200308,IN,2,,,,,2,2020-03-08T20:00:00Z
20200308,NC,2,,,,,2,2020-03-08T20:00:00Z
20200308,MN,1,48,,,,49,2020-03-08T20:00:00Z
20200308,WI,1,31,12,,,44,2020-03-08T20:00:00Z
20200308,CT,1,29,8,,,38,2020-03-08T20:00:00Z
20200308,VT,1,28,,,,29,2020-03-08T20:00:00Z
20200308,NE,1,17,5,,,23,2020-03-08T20:00:00Z
20200308,NV,1,14,,,,15,2020-03-08T20:00:00Z
20200308,KY,1,13,,,,14,2020-03-08T20:00:00Z
20200308,KS,1,11,0,,,12,2020-03-08T20:00:00Z
20200308,DC,1,10,0,,,11,2020-03-08T20:00:00Z
20200308,OK,1,8,2,,,11,2020-03-08T20:00:00Z
20200308,HI,1,,,,,1,2020-03-08T20:00:00Z
20200308,MO,1,,,,,1,2020-03-08T20:00:00Z
20200308,UT,1,,,,,1,2020-03-08T20:00:00Z
20200308,NM,0,48,0,,,48,2020-03-08T20:00:00Z
20200308,MI,0,26,10,,,36,2020-03-08T20:00:00Z
20200308,ID,0,27,,,,27,2020-03-08T20:00:00Z
20200308,AK,0,14,6,,,20,2020-03-08T20:00:00Z
20200308,IA,0,15,2,,,17,2020-03-08T20:00:00Z
20200308,OH,0,10,4,,,14,2020-03-08T20:00:00Z
20200308,MT,0,11,,,,11,2020-03-08T20:00:00Z
20200308,DE,0,10,0,,,10,2020-03-08T20:00:00Z
20200308,AR,0,6,0,,,6,2020-03-08T20:00:00Z
20200308,LA,0,5,,,,5,2020-03-08T20:00:00Z
20200308,SD,0,5,0,,,5,2020-03-08T20:00:00Z
20200308,WV,0,2,3,,,5,2020-03-08T20:00:00Z
20200308,ME,0,1,,,,1,2020-03-08T20:00:00Z
20200308,AL,0,,,,,0,2020-03-08T20:00:00Z
20200308,MS,0,,,,,0,2020-03-08T20:00:00Z
20200308,ND,0,0,,,,0,2020-03-08T20:00:00Z
20200308,WY,0,,,,,0,2020-03-08T20:00:00Z
20200307,WA,102,370,66,,,538,2020-03-07T21:00:00Z
20200307,NY,76,92,236,,,404,2020-03-07T21:00:00Z
20200307,CA,69,462,,,,531,2020-03-07T21:00:00Z
20200307,FL,14,100,88,,,202,2020-03-07T21:00:00Z
20200307,MA,13,,,,,13,2020-03-07T21:00:00Z
20200307,CO,8,55,69,,,132,2020-03-07T21:00:00Z
20200307,TX,8,,,,,8,2020-03-07T21:00:00Z
20200307,OR,7,77,40,,,124,2020-03-07T21:00:00Z
20200307,IL,6,191,44,,,241,2020-03-07T21:00:00Z
20200307,GA,6,,,,,6,2020-03-07T21:00:00Z
20200307,AZ,5,44,7,,,56,2020-03-07T21:00:00Z
20200307,NJ,4,,1,,,5,2020-03-07T21:00:00Z
20200307,MD,3,41,,,,44,2020-03-07T21:00:00Z
20200307,NH,2,20,3,,,25,2020-03-07T21:00:00Z
20200307,SC,2,8,,,,10,2020-03-07T21:00:00Z
20200307,NC,2,,,,,2,2020-03-07T21:00:00Z
20200307,PA,2,,,,,2,2020-03-07T21:00:00Z
